entity,host_cpu,host_mem,pod_cpu,pod_mem,raw_instance,instance_label
host01,0.14270597222222253,0.2247601352324775,0.3150344223278511,0.2624294994319298,192.168.10.81:9100,host01 (192.168.10.81)
host02,0.35671971643518524,0.5007692910933383,0.9857485925532351,0.9661908693793846,192.168.10.82:9100,host02 (192.168.10.82)
master01,0.3082994328703707,0.8946619379209221,0.8040704726342077,0.15099170617578894,192.168.10.201:9100,master01 (192.168.10.201)
pi,0.18200340277777755,0.9165505379288164,0.0,0.0,192.168.10.200:9100,pi (192.168.10.200)
rpi01,0.18200420717592575,0.9188887718972569,0.5252709773448893,0.14772995769201128,192.168.10.100:9100,rpi01 (192.168.10.100)
worker03,0.17251674768518566,0.6564184957638913,0.0,0.0,192.168.10.83:9100,worker03 (192.168.10.83)
host03,0.0,0.0,0.40276496353642793,0.5036990624662313,host03,host03
master02,0.0,0.0,0.6709549590392235,0.1365976370883516,master02,master02 (192.168.10.202)
