ds,y,hour,is_weekend,node,signal
2025-11-12 14:20:00,21725.526,14,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 14:30:00,22696.849333333335,14,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 14:40:00,24301.055,14,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 14:50:00,22262.006666666668,14,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 15:00:00,23569.344666666664,15,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 15:10:00,21431.183,15,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 15:20:00,24831.83,15,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 15:30:00,23541.75166666667,15,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 15:40:00,22754.345666666668,15,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 15:50:00,21352.62266666667,15,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 16:00:00,22932.77666666667,16,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 16:10:00,24474.378999999997,16,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 16:20:00,21278.707,16,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 16:30:00,21052.38366666667,16,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 16:40:00,22853.710666666662,16,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 16:50:00,21566.229,16,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 17:00:00,21466.725333333332,17,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 17:10:00,22998.795666666665,17,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 17:20:00,22296.22466666667,17,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 17:30:00,23126.605000000003,17,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 17:40:00,21560.746000000003,17,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 17:50:00,23742.556,17,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 18:00:00,22921.784999999996,18,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 18:10:00,21298.177,18,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 18:20:00,21146.11333333333,18,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 18:30:00,21147.843666666668,18,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 18:40:00,21254.326333333334,18,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 18:50:00,21140.93833333333,18,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 19:00:00,24194.133,19,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 19:10:00,23033.154333333332,19,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 19:20:00,23280.963333333333,19,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 19:30:00,24656.855,19,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 19:40:00,21275.88933333333,19,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 19:50:00,22981.364,19,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 20:00:00,24004.247,20,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 20:10:00,22110.635999999995,20,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 20:20:00,20825.018,20,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 20:30:00,23697.056,20,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 20:40:00,22940.861,20,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 20:50:00,22102.821333333333,20,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 21:00:00,22417.99366666667,21,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 21:10:00,21211.280666666666,21,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 21:20:00,22277.937333333335,21,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 21:30:00,21263.767,21,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 21:40:00,21094.806666666667,21,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 21:50:00,22616.023333333334,21,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 22:00:00,23649.787666666663,22,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 22:10:00,23278.196333333333,22,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 22:20:00,24379.316,22,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 22:30:00,22939.8,22,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 22:40:00,22761.563333333335,22,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 22:50:00,21229.101,22,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 23:00:00,21992.305666666663,23,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 23:10:00,22648.496666666662,23,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 23:20:00,20606.924,23,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 23:30:00,20602.487666666668,23,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 23:40:00,22054.11766666667,23,0,master01 (192.168.10.201),NET_TX_BW
2025-11-12 23:50:00,21495.731999999996,23,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 00:00:00,22270.973000000005,0,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 00:10:00,21015.056333333338,0,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 00:20:00,22243.953666666665,0,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 00:30:00,21525.817666666662,0,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 00:40:00,22149.783000000003,0,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 00:50:00,20863.466666666667,0,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 01:00:00,21086.124666666667,1,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 01:10:00,21852.686333333335,1,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 01:20:00,22590.305333333337,1,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 01:30:00,20657.13433333333,1,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 01:40:00,20747.344666666664,1,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 01:50:00,22659.832,1,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 02:00:00,20695.32333333333,2,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 02:10:00,22098.75933333333,2,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 02:20:00,20818.090000000004,2,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 02:30:00,20830.73733333333,2,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 02:40:00,23847.649,2,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 02:50:00,21412.889333333333,2,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 03:00:00,20927.405333333332,3,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 03:10:00,23858.430666666667,3,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 03:20:00,20482.80133333333,3,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 03:30:00,20561.264000000003,3,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 03:40:00,22351.715,3,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 03:50:00,21529.619,3,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 04:00:00,22116.20466666667,4,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 04:10:00,22349.776,4,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 04:20:00,22984.656333333336,4,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 04:30:00,20415.942333333332,4,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 04:40:00,20832.329,4,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 04:50:00,20825.384666666665,4,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 05:00:00,20916.071333333333,5,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 05:10:00,22835.26033333333,5,0,master01 (192.168.10.201),NET_TX_BW
2025-11-13 05:20:00,21476.666666666664,5,0,master01 (192.168.10.201),NET_TX_BW
